"Code","Location_ID","Visit_ID","Panel","Date","Year","Visit_Type","limited_RAM","Weather","Prior_Weather","Ditch_Present","Depth_1","Depth_2","Depth_3","Flag_Water_Source","Water_Source_1","Water_Source_2","Water_Source_3","Mosaic_Complexity","SphagnumMoss","Bryophyte_Cover","Invasive_Cover_Class","Invasive_Cover","Buffer_Width_N","Buffer_Width_NE","Buffer_Width_E","Buffer_Width_SE","Buffer_Width_S","Buffer_Width_SW","Buffer_Width_W","Buffer_Width_NW","Buffer_Width_Avg","Buffer_Perim_Percent","AlgalMatOrCrust","AquaticInvertebrate","BioticCrust","DrainagePatterns","DriftDeposits","Flag_Inundation","IronDeposits","MarlDeposits","MossTrimLines","SaltCrust","SedimentDeposits","SparselyVegetatedConcaveSurfaces","SurfaceSoilCracks","WaterMarks","WaterStainedLeaves","TrueAquaticPlants","CrayfishBurrows","DrySeasonWaterTable","FiddlerCrabBurrows","Flag_Saturation","HydrogenSulfideOdor","SaltDeposits","SurficialThinMuck","OxidizedRhizospheres","Flag_Surface","GeomorphicPosition","HighWaterTable","MicrotopographicRelief","ShallowAquitard","SoilSaturation","StuntedOrStressedPlants","SurfaceWater","Notes_AA_Point","Notes_RAM01","Notes_RAM02","Notes_Topographic_Complexity","Notes_Mosaic_Complexity","Notes_RAM05","Notes_RAM06","Notes_RAM07","Notes_RAM08","Notes_RAM09","Notes_RAM10","Notes_RAM11","Notes_Species","Notes_H1","Protocol_Version","Checked","Data_Verified_By","Certification_Level"
"GRME01",218,NA,NA,"2015-07-16",2015,"VS",1,"Sunny","Mostly sunny and warm - 1 day of rain","Yes",NA,NA,NA,NA,"Stream Inflow (creeks, rivers)","Precipitation (rain, snow)","Stream Outflow (creeks, rivers)",2,NA,31,"Trace (nearly absent): <5% cover",0.1,100,100,100,50,100,100,100,100,93.75,">75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME02",223,NA,NA,"2015-07-23",2015,"VS",1,NA,NA,"No",NA,NA,NA,NA,NA,"Precipitation (rain, snow)","Stream Outflow (creeks, rivers)",3,NA,1.6,"Trace (nearly absent): <5% cover",0.1,100,100,100,100,100,100,100,100,100,">75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME03",215,NA,NA,"2015-07-28",2015,"VS",1,NA,"Lots of rain last night","No",NA,NA,NA,"1","Precipitation (rain, snow)","Stream Inflow (creeks, rivers)",NA,2,NA,24.4,"Trace (nearly absent): <5% cover",0.1,100,100,100,100,100,100,100,100,100,">75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very small channels present",NA,NA,NA,NA
"GRME04",222,NA,NA,"2015-07-30",2015,"VS",1,"Partly cloudy, 70's","Occassinoal rain in previous week - temp in 80s","No",NA,NA,NA,NA,"Precipitation (rain, snow)",NA,NA,2,NA,10.4,"5-25%",5,100,100,100,100,100,100,100,100,100,">75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"Mored point to nearest area more screened from trail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No standing water this time of year.",NA,NA,NA,NA
"GRME05",219,NA,NA,"2015-08-10",2015,"VS",1,NA,NA,"No",NA,NA,NA,NA,NA,"Precipitation (rain, snow)","Stream Outflow (creeks, rivers)",2,NA,0,"Absent (none)",0,100,100,100,100,100,100,100,100,100,">75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME06",221,NA,NA,"2015-08-10",2015,"VS",1,"Sunny 70s","Sunny 70s","No",NA,NA,NA,NA,"Precipitation (rain, snow)",NA,NA,2,NA,2,"Extensive: 26-75% cover",26,100,100,100,100,100,100,100,100,100,">75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herbicide treatment for Glossy Buckthorn",NA,NA,NA,NA
"GRME07",217,NA,NA,"2015-08-14",2015,"VS",1,"Sunny 80s","Heavy rain a few nights ago","No",NA,NA,NA,NA,"Precipitation (rain, snow)",NA,NA,2,NA,NA,"Absent (none)",0,100,100,100,50,85,100,100,100,91.875,">75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A: Old road/trailbed present. B: Lots of Deer Tracks",NA,NA,NA,NA
"GRME08",214,NA,NA,"2015-08-14",2015,"VS",1,"Sunny 80s","Heavy rain a few days ago","Yes",16,42,41,NA,NA,NA,"Groundwater",3,NA,NA,"Absent (none)",0,100,50,20,59,100,100,100,100,100,">75",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A: Old road bed just adjacent to AA",NA,NA,NA,NA
"GRME09",216,NA,NA,"2015-08-14",2015,"VS",1,"Sunny 80s","Heavy rain a few nights ago","No",NA,NA,NA,NA,"Precipitation (rain, snow)",NA,NA,2,NA,NA,"Extensive: 26-75% cover",26,100,100,100,100,100,100,100,100,100,">75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME10",220,NA,NA,"2015-08-14",2015,"VS",1,NA,NA,"No",NA,NA,NA,NA,"Stream Outflow (creeks, rivers)","Precipitation (rain, snow)",NA,1,NA,NA,"Trace (nearly absent): <5% cover",0.1,100,100,100,100,100,100,100,100,100,">75",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
